id,text,cat_val
50,"To eliminate HATE, start by removing Superintendent Garza who is busy trying to MURDER citizens who won't be quiet.

SILENCE IS PERMISSION

HAPPY EASTER #NEWBERLIN #WAUKESHA #DEPOPULATION #CYBERTORTURE #CABAL #BLOODCULT @WISN12News @journalsentinel

https://t.co/dHeXxbgCIr https://t.co/zYnqZkBf0N",G
51,"@Jarcon20 @SebastianEPayne You are correct it is rare, but according to statistics from it is 366% more common after this vaccine than in unvaccinated. Will find the link and post 👍 The article above needs to be removed for miss information @SebastianEPayne",R
52,"#NSTnation  Action could be taken under the existing law against those caught doing so. Those found guilty could be jailed for up to two years, or fine, or both.
#AntiVaccine #Vaccination #Civil #Group #Movement #Covid19
https://t.co/MuBs6VV9u9",M
53,Wristbands &amp; Dining Cards: New Army Policies Exclude &amp; Isolate Unvaccinated | The Liberty Beacon https://t.co/9x4QBsMVih,M
54,@toryboypierce love the way that these things work Our reward for getting vaxxed is report lower numbers. Subtly laced with we cant slow down in case nasty variants hit us. Watched French propaganda on BBC news showed an overwhelmed Paris ICUNot one gloved hand in sight They take us for fools,G
55,It is so blatantly obvious that they are trying to demonize the unvaccinated and trying to stir up public outrage against us. Now do you see how this is going to fulfill chapter 13 of Revelation and result in the justification and acceptability of our execution???,G
56,"""Totalitarian movements do not simply stop on their own. They continue to advance toward their full expressions, ultimately transforming entire societies into monstrous mirror-images of themselves, unless they are opposed by serious resistance."" 
https://t.co/GN57fJ5kGD",M
57,The works it is luther constant Democrat for were are at luther !! https://t.co/5uf68FEXIu,G
58,Trump sold all of us out. Operation depopulation I mean warpspeed.🤣🤣🤣😬 https://t.co/y5Fx0nwEn2,G
59,"@lockwoodx3 The ""vaccine"" doesn't provide immunity. The purpose is for 'passports' which will grant the governments complete surveillance, with the unvaccinated being identified and prohibited from buying, selling, or travel: 
https://t.co/9GAEHCh08p",G
61,"Its ""perfectly normal"" for 100 people to be ""#vaccinated"" against the UNdoom #CoronaDoom and then contract the disease, you rubes!! Move along citizen, be vaxxed and OBEY!! https://t.co/CmSVemyJyE",G
63,"Setagaya City Hall building must be renovated and reused, just like fashion, to save the environment. That way, it'll cut CO2 and cost dramatically rather than replacing them with new gigantic concrete buildings. Depopulation advances; why need such big buildings? #setagayacity",G
64,"Anyone remember the story of Moses and how (as a baby) he was placed in a basket and hidden in the reeds?
#GovernedByTraitors #SharpenYourPitchforks https://t.co/8pEnxSsQZ8",G
65,"@Bee42681881 Looks Like we're going full apartheid. Hopefully businesses will open for non vaxxed people,.ans trhn well have a 2 tier society. Them and us, wonder where that will lead......",G
66,"This statement is actually wrong , civil servant should have the mind to make decision for themselves based on research and facts unless the civils servant of malaysia are a bunch of machines . Than again l resign the job because they are a bunch of machines https://t.co/JMadWl6RqZ",M
67,"Bill Gates has said for years he is for depopulation. He has also said that 3 billion people in the world need to die. What do you think are in those injections?💉 
It’s certainly not a cure for a virus that 99.9% survivable https://t.co/smHyV017Hn",G
69,@BuckSexton FAUCHI created this. And AIDS. SARS. MERS. all corona viruses. Do not take the Pfizer “vaccine “ it’s not a vaccine. It’s giving you poisons that will effect us in 4 to 12 months. Depopulation drug!!! On YouTube,G
70,"If Michael ""FW de Klerk"" Gove wants to create a two-tier society then presumably the ""unvaccinated"" will not be expected to contribute to his discrimination fantasy by paying taxes etc. @michaelgove Right?
Herr Michael Gove = UK apartheid architect.",G
72,"Apartment buildings with gyms may want to combat the coronavirus, but banning unvaccinated residents from working out is a perilous idea https://t.co/64Rl3RU8qP",M
74,"@Covid_CallOut @Nick_Pye Depopulation and servitude of those that remain is driving this under the umbrella of a dystopic utopia for those running the show.
We have to collectively say NO. It may mean giving up a few things for a while but the rewards will exceed the sacrifice. Freedom is a birth right!",G
75,"I have absolutely no doubt that we are in the presence of evil (not a determination I’ve ever made before in a 40-year research career) and dangerous products.

- former Pfizer Vice President and Chief Science Officer Dr. Mike Yeadon about his views on the COVID-19 vaccine https://t.co/VUCDTyhs0H",G
76,"@CharlesRCherry @LibertyBlitz @TFMetals The ""vaccine"" doesn't provide immunity. The purpose is for 'passports' which will grant the governments complete surveillance, with the unvaccinated being identified and prohibited from buying, selling, or travel: 
https://t.co/9GAEHCh08p",G
77,"@LibertyBlitz The ""vaccine"" doesn't provide immunity. The purpose is for 'passports' which will grant the governments complete surveillance, with the unvaccinated being identified and prohibited from buying, selling, or travel: 
https://t.co/9GAEHCh08p",G
78,"@vonderleyen THE EUROPEAN COMMISSION AND AMERICAN MASONRY WANT TE DEPOPULATION OF THE ROMANIAN PEOPLE FROM ROMANIA IN TRUE THE ROMANIAN PEOPLE LIVE ON SOME NATURAL URANIUN,OIL ,DIAMOND,POTTERY RED.THE ROMANIAN 🇷🇴 PEOPLE ARE ALWAYS MASTERS OVER THE RICHES OF ROMANIA 🇷🇴🇷🇴 ROMÂNIA",G
79,@AI_Clayton This is 110% a depopulation exercise. Notice more and more people now require IVF to have a child. The upcoming generation will see that rise significantly.,G
81,"Does the vitriolic hatred for the #unvaccinated apply only to those who choose not to be, or does it equally apply to those who can't due to allergy or are just too young? #vaccine #VaccinePassports",M
82,"Former Pfizer VP Sounds Alarm: COVID-19 Vaccine Campaign ""Madness"" That May Be Used For ""Massive-Scale Depopulation"" https://t.co/c0UtDDTK4U via @en_volve",G
85,"@dostonkevsky @DANKOFCANADA @LibertyBlitz The ""vaccine"" doesn't provide immunity. The purpose is for 'passports' which will grant the governments complete surveillance, with the unvaccinated being identified and prohibited from buying, selling, or travel: 
https://t.co/9GAEHCh08p",G
86,"@EssexPR @GrantPomeroy I understand the barring of unvaccinated people entering certain countries, but surely in a liberal country we have a choice to visit a pub or not, nobody can be ignorant of any risk posed by doing so by now, can they ?",M
87,💥💥BAAAM 💥💥Exclusive: Former Pfizer VP to AFLDS: ‘Entirely possible this will be used for massive-scale depopulation’ – America's Frontline Doctors  https://t.co/jXspDctMFT,G
92,"@SkyNews THE EUROPEAN COMMISSION AND AMERICAN MASONRY WANT TE DEPOPULATION OF THE ROMANIAN PEOPLE FROM ROMANIA IN TRUE THE ROMANIAN PEOPLE LIVE ON SOME NATURAL ROMANIAN 🇷🇴URANIUN, OIL, DIAMOND, POTTERY RED.THE ROMANIAN PEOPLE ARE ALWAYS MASTERS OVER THE RICHES OF ROMANIA 🇷🇴🇷🇴🇷🇴",G
93,"@disclosetv If they get it over the line the floodgates will open 
DEPOPULATION BY MANDATORY VACCINATION",G
94,"@davidclarkdavi1 @AI_Clayton Exactly 👍 
So why experiment with our next generation, our future on this planet? Something bigger is going on. What will the vaccine really do to our bodies? Depopulation? Infertility? Transhumanism? It’s not good, whatever it will do.",R
96,How long before the MSM floats the idea of quarantine camps for the unvaccinated? https://t.co/OYf77RHb4J,M
97,"More blatant collusion on the #depopulation agenda 

NEXT UP: QUARANTINE THE CHILDREN 

They are BLOOD THIRSTY

https://t.co/jX3Egi5QUB

#breakingnews #wisconsin #waukesha #newberlin https://t.co/PkyMWOvVlQ",G
98,"I don't want to take a defeatist attitude but seriously how far do we have to go for people to understand what a vaccine passport means? It's already been said that it's part of their plan for the coming months AND YEARS. This isn't bad for the unvaccinated, it's bad for everyone",M
99,"@UNGeneva THE EUROPEAN COMMISSION AND AMERICAN MASONRY WANT TE DEPOPULATION OF THE ROMANIAN PEOPLE FROM ROMANIA IN TRUE THE ROMANIAN PEOPLE LIVE ON SOME NATURAL ROMANIAN URANIUN, OIL, DIAMOND, POTTERY RED.THE ROMANIAN 🇷🇴 PEOPLE ARE ALWAYS MASTERS OVER THE RICHES OF ROMANIA 🇷🇴🇷🇴🇷🇴",G
100,Never forget Bill Gates has always admitted his real goal &amp; its depopulation call me a cranky but then look at the many videos of him talking about just that in many interviews &amp; conferences. Guess who he was buddies with none other than Jeffrey Epstein another obsessed weirdo,G
101,"@AllisonFarah1 WOW!! I WAS RIGHT ALL THE TIME!
The first time i saw the photo of Obama and Hillary Clinton in the Chemical lab in Wuhan in 2014, i knew, Covid was an orchestrated attempt at depopulation.",G
102,"@DlaminiZuma you are on notice, I will transport any commodity, that I have bought legally, anywhere and any time I like. I do not consent. #EnoughIsEnough #Idonotconsent #LockdownSA 

https://t.co/BzEIK3VDDA",M
104,"If vaccines are Bill Gates’ number one tool for depopulation, why are people taking vaccines voluntarily?  

I understand why Bill Gates has negotiated zero liability for his crimes, but I don’t understand how he recruits educated victims so easily after 1 year of massive lies.",G
105,"Wristbands and dining cards: New Army policies exclude, isolate unvaccinated | Opinion | LifeSite https://t.co/2smFkrXPOG",M
106,Wouldn't it be better just to cut to the chase and give unvaccinated people yellow stars to sew prominently onto their clothes? https://t.co/3OPWMD49kL,M
107,"@rebeccabutlerm2 @EssexPR Never expected to see naivety like this from you. Would you care to clarify what the vaccinated have to fear from the unvaccinated, and what the vaccinated could uniquely do with a passport when they can carry/ transmit the virus, and will still require to be socially distanced?",M
108,Bombshell - Former Pfizer VP - ‘Entirely Possible This Will Be Used for Massive-Scale Depopulation’ | EU | Before It's News https://t.co/9h5ZIXBfLW,G
109,"Not every one WANTS to be vaccinated..for the record..I’m pro-💉but, I doubt there’ll be laws to mandate it. Some solutions have been proposed to create vaccine passports..she’s against, see? https://t.co/6X08afN2ZX",M
110,"This is where Johnson is coming from. A chip off the old block. His eugenicist Father, has been involved in depopulation projects since 1967. https://t.co/aGRlS6or2f",G
111,"@PaulTHenderson I think we need to divide public transport and public amenities for vaxxed and un-vaxxed. 

I am replying to this on the assumption that your tweet is an April’s fool joke.",M
112,"Reality check using official 🇺🇸 data on 💉 adverse effects = pretty sobering

And this translates to all trial drugs are 100% safe and good to roll out across all children and everyone else regardless of suitability, need or risk profiles? 🤔

#InformedConsent #DoNotConsent https://t.co/MyBcfNpn7Q https://t.co/AgpjuTCrty",R
113,@demilynne701 @Titch16487899 Love my country and it’s people but hate the government corrupt government and everything that they stand for evil lies depopulation off this country boris and Hancock witty and valance sage will be held accountable for what they are doing evil blood on their hands,G
114,"This has to be challeged 
Big pharma does not claim this for the jab.
It is a  monster lie by an unelected political scientist designed to lead to vaccination passports.
The country sleeps on. https://t.co/jM0TaTtszV",M
115,@RedsTheBest23 The jab is essential for the global takeover and depopulation. The passport is being used as coercion to take the jab. None of this would happen if people refused the jab!,G
116,"@MrAHarrisonCS @j_infin8te @bradengw @The_VeilEXE @VancityReynolds @jessicamalaty Like I said, I’m not saying whether there is a chip or not. The point is, you don’t what is in that syringe. Nanotechnology is real. And those funding the vaccines openly speak about the need for depopulation to save the planet. Make if that what you will.",G
117,"@MrAHarrisonCS @j_infin8te @bradengw @The_VeilEXE @VancityReynolds @jessicamalaty Like I said, I’m not saying whether there is a chip or not. The point is, you don’t what is in that syringe. Nanotechnology is real. And those funding the vaccines openly speak about the need for depopulation to save the planet. Make if that what you will.",R
118,"@rorepme_ Role reversal. Women and men are going extinct. Programming, depopulation agendas. Not to mention the division it’s creating. PTB are creating a hall of mirrors for the platform known as identity. A strong masculine/feminine is needed to raise a MENtally healthy child.",G
119,"@RealMcRealface @DonaldJTrumpJr @GOP And don’t forget to mention, said government (Joey) is threatening to restrict many things to those that CHOOSE to not get a SHOT!  Where is AMERICA!?  I don’t know her anymore!😢 What happened to #MyBodyMyChoice #Hypocrites #DoubleStandard #TiredOfIt",M
120,"7/ As such, whilst Awdry wanted things to be as 'real' as possible, it was a 'real' that was to a large extent disappearing, in a countryside that was seeing change through agricultural industrialisation and rural depopulation. 

The stories were thus largely at odds with reality",G
121,"@Jdjd63558457 Actually, no one needs to be vaxxed. The vaxx doesn’t prevent one from getting covid or from passing it to others. The most, it might lessen the symptoms but it’s just as likely to cause a cytokine storm/immune system and death if you get covid after the vaxx. #IdoNOTconsent",R
123,"Two vaccinated people being allowed to meet will soon turn onto another 3 weeks to flatten the curve. Next 4 people allowed then  20, then only vaccinated allowed use pubs shops ect then  only unvaccinated have to wear masks..wake up..",M
124,@griptmedia This man needs sacking now. In his speech to the nation he mentioned vaccine/vaccinated 17 times and mentioned discriminating the unvaccinated. This was a sales pitch for the vaccines. He is a globalist😡,G
125,@griptmedia This man needs sacking now. In his speech to the nation he mentioned vaccine/vaccinated 17 times and mentioned discriminating the unvaccinated. This was a sales pitch for the vaccines. He is a globalist😡,M
126,"@starsandstripes This experiment on humanity so we are all lab rats for
this mRNA gene altering therapy (it is not a vaccine and
does not prevent covid). ALL these lies to enrich Bill Gates and all his eugenecist DAVOS friends.
https://t.co/JzLRz6sbiD",G
127,"3,964 DEAD 162,610 Injuries: European Database of Adverse Drug Reactions for COVID-19 “Vaccines”

#Scamdemic #Plandemic #VaccineInjury #JUSTSAYNO
https://t.co/pyFbZBABwj",R
128,"@AI_Clayton Of course, after 100 Million vaxxed, we still have 1,000 deaths daily. It was always about depopulation. That’s why they restricted therapeutics from being prescribed by MDs and dispensed by pharmacists. #MandatedDeathByRona",G
129,"This will be an autumn ritual, updating your ‘flu + Covid vax every yr to fulfill yr passport “license to live”. Meanwhile, it’s becoming clear there’s more chance of vaxxed ppl shedding virus, not the other way around. Also, more vaxxed ppl now catching Covid 🤔",M
130,"@LynnBrittney2 @mmjblair a culling plan.Elderly in care homes use tax monies to keep them so that needs ""attention"". Kids next so the Vax is there to make them sick so PHARMA can provide meds for the rest of their lives so make lifelong profits. Depopulation as @BillGates wants. Playing God means Karma",G
131,@soupcanarchist It isn’t even a sodding “vaccine”. People are not “anti vaxxed” - they value their health and are pro choice and pro informed choice. Most of the people don’t even know this is a human genome altering  drug trial,R
132,@soupcanarchist It isn’t even a sodding “vaccine”. People are not “anti vaxxed” - they value their health and are pro choice and pro informed choice. Most of the people don’t even know this is a human genome altering  drug trial,M
133,"#mybodymychoice 

If anyone is thinking of organizing a protest to show their support for nurses and others who are currently being coerced into taking the Covid-19 vaccine - I would attend in a heart beat, and I expect thousands of others would too

Please retweet",M
134,"@litecoin_bull Global Deep State BS.  Global Deep State control of population, (depopulation), all energy, all currency and currency reset.  Track and control where the Sheep can travel.  Shut down all public protests (think Hong Kong).  It is a monfied Flu.  Its Bull&amp;hit.  Am I clear?",G
135,"@Westhamunited39 @JamesMelville @EFFSouthAfrica @eNCA @PresidencyZA @DrZweliMkhize @Julius_S_Malema @MbuyiseniNdlozi @BlackCulture_EM @NehawuSacco @_cosatu @justicemalala @SakinaKamwendo @LeanneManas The same mass brain freeze is happening over here.
Its like the Zombie apocalypse happening right in front of our eyes
What perfectly healthy SANE person allow him/her to be injecting wt a unknown, potentially dangerous substance?
#NoVaccineForMe @EFFSouthAfrica
@SakinaKamwendo",R
136,@PamLongCO My daughter and her co-workers hadn’t been sick at ALL! None of them. The ones who just recently got vaxxed? EVERY ONE OF THEM were out sick for at least 3 days. SHE’S picking up extra hours because she is one of only 2 who didn’t get the 💉. Upside down world. 🤦‍♀️🤦‍♀️,R
137,"@Mark_Butler_MP That is a load of crap. Your labor state colleagues have shut borders with one or 2 cases, then asked for financial assistance. NSW is operating without shutting borders. And how do you propose ""opening the economy with unvaccinated antivaccers?",M
138,"If a Vaccination doesn’t  prevent you catching the infection, or prevent you spreading the virus, what’s the point of a covid passport? Those vaccinated are just as likely to catch it and spread it as the unvaccinated. It makes the passports irrelevant. https://t.co/OoTMpjN5OS",M
139,@SueC00K I find myself disagreeing with you for the  first time. So you think it’s ok that the unvaccinated can never travel again?,M
140,"@Lyndonx They seem to have bought into the fascists WEF “Great Reset” plan &amp; regularly spout their mantra “Build Back Batter”.
The WEF’s global socialism is at odds with the west’s capitalist approach most are use to. 
WEF’s Great Reset involves depopulation hence the experimental vaccine",G
141,@stacey_rudin Depopulation is what they are trying to do. They don’t want the kids to grow up and be able to have kids. This will kill kids as it’s killing adults,G
142,@ToniBrisby @TheCurrentMrsC Why ? What about those citizens who refuse the vaccine because of serious healthy concerns ? What about those who decide they have a choice to choose what’s right for them ? Do we offer those a  ☠️ badge to be displayed on their clothing to inform others they are unvaccinated?,R
143,@ToniBrisby @TheCurrentMrsC Why ? What about those citizens who refuse the vaccine because of serious healthy concerns ? What about those who decide they have a choice to choose what’s right for them ? Do we offer those a  ☠️ badge to be displayed on their clothing to inform others they are unvaccinated?,M
144,@AlbertaLeonidas It’s the science the CDC doesn’t want us to see Vaccinated vs Unvaccinated,G
145,"Do you know anyone who was injured by the DTP (Diphtheria-Tetanus-Pertussis) vaccine?

https://t.co/N5gNpEHGPB

Want to stay informed?
https://t.co/tieJwPrrmZ

#Physicians4InformedConsent #1stDoNoHarm #Vaccines #Vaccination #InformedConsent #Science #Statistics #PICphysicians https://t.co/2mQMnueJcJ",R
146,"@Gavchunter @crbarnes001 @Rhonda52807071 vaxxed people are not only becoming weaker &amp; susceptible to other respiratory infections,
they can come down with disease &amp; become infectious.
https://t.co/eqm0rAVwnY",R
147,@DivocSuriv Depopulation has always been the hidden agenda. All the rest is smoke.,G
148,"As an Army Veteran, this pains me deeply to report this, segregation for both our soldiers and eventually  for civilians, if we do not stand up against medical apartheid now. Write your lawmakers to put public access protections in place now. https://t.co/12CSWvy7G5",M
149,@CarrDutton @TomClements99 @PoliticsForAlI @thetimes What is the legitimate purpose of a vaccine passport? The only person an unvaccinated person is potentially harming is themselves.,M
150,"@EU_Commission Nothing whatsoever to do with safety.
Everything to do with Control.

We're told that you can still catch the virus and transmit it AFTER being vaxxed.

So, you are no different to someone who hasn't been.",G
151,@BreesAnna Then get back to supporting the British people and not the woke nutters you have a law degree in human rights so use it to help the people not yourself this is a war crimes against humanity depopulation stop supporting the government and hold them accountable for this evil,G
152,The Gaia Deception and the Depopulation Plan https://t.co/t5z3HBJdlT,G
153,"@Mick_Jones269 @jsolomonReports Ironic at best. 
People get vaxxed for CV virus then two weeks later get the very virus they are vaxxed for. 
No connection though. Just a “coincidence”.  
The propaganda From the media and pharmaceutical companies is more effective than the Vax.....",G
155,"Those of us left behind ( unvaccinated ) must start to think about creating community groups, source organic farm shops where they don’t require vax passports, car pools etc..❤️",M
156,Oh the Irony. Get vaxxed for virus. Two weeks later get virus you’ve been vaxxed for. No connection. Just a “Coincidence”. https://t.co/CO3SJEpwN0,R
157,"(1/4) Suspension of COVID-19 vaccine AstraZeneca; Paul-Ehrlich-Institut:

""The number of these cases after vaccination with COVID-19 AstraZeneca is statistically significantly higher than the number of cerebral venous thromboses that normally occur in the unvaccinated population"" https://t.co/vW1aZaYogO",R
158,Former Pfizer VP says experimental Covid-19 vaccines could be “used for massive-scale depopulation” https://t.co/BNLgK3hThT,G
159,@PeachsInGa My favorite part is that Democrats are contemplating a covid ID card to ostracize  the unvaccinated while calling a free  ID  card Jim Crow 2.0. You have to have a photo ID to get the vaccine. 🤷‍♀️,M
160,"@Stop_CommonPass Why don’t we just tattoo vaccine brand and batch numbers on people’s arms as we vaccinate them annually. We could also put tags through people’s ears to make it all more visible and make the unvaccinated wear electronic collars, so they don’t venture far out of the unclean areas?",M
161,"🚨 very very SOBERING wake up to the long term effects of CV vax 
My heart is so grieved. mRNA is not safe nor has ever been a viable vaccination answer. It turns your body into a weapon against itself #InformedConsent

https://t.co/L6hMBVC6JK https://t.co/SAcwmXP751",R
162,"@banthebbc @northerness What he means is that he doesn’t think the courts would stand by and let them restrict access to food and healthcare for the unvaccinated, but he thinks pubs, events, travel etc are all fair game. Apartheid is on the way.",M
163,"@PARABOLIT NWO. Wait until you're refused public healthcare, education or transport unless you're vaxxed",M
164,"Where are the multiculturalism defenders when we need them? I thought we ought to accept everyone. Time to make my ""vaccine decliner"" Yellow star brassard. #Idonotconsent #StopVaccinePassports #Stopnewnormal https://t.co/q8JYj9fkUJ",M
165,"@spirconi @CaptainOctavia @charles_forsyth @silkiecarlo @paulrey99 Octavia is a nut. Discrimination against men isn't  ok, but against the unvaccinated is, apparently.  Lol.

https://t.co/x4Cb5PWAS0",M
166,@BasqueGroyper_ @iAmOnThisApp Recommend Chlorella to your r*t*rd*d vaxxed family members and friends - it will at least remove the aluminum and mercury from the blood almost completely if taken right after the gmo fetal abortion cells mark of the beast concoction is injected. *This will not revert DNA damage,R
167,"The mRNA in the vaccine silences your genes. This can lead to heart disease, cancers, etc. People think I’m crazy when I tell them that it modifies their genes. Sheep willingly inject the tissues they take from the lungs of an infant. It isn’t about covid, it’s about depopulation https://t.co/AFQKruudom",G
